0.答案 190/63
2999.答案 85/18
3000.答案 21/40
3001.答案 34/3
3002.答案 24/7
3003.答案 45/7
3004.答案 221/36
3005.答案 1/7
3006.答案 7/8
3007.答案 59/7
3008.答案 11/3
3009.答案 50
3010.答案 1/10
3011.答案 0
3012.答案 57/28
3013.答案 130/63
3014.答案 16/3
3015.答案 19/7
3016.答案 4
3017.答案 9/7
3018.答案 965/24
3019.答案 81/35
3020.答案 15/2
3021.答案 327/35
3022.答案 187/20
3023.答案 19/12
3024.答案 89/10
3025.答案 39/5
3026.答案 8/3
3027.答案 32
3028.答案 115/112
3029.答案 27/5
3030.答案 2
3031.答案 33/2
3032.答案 21/5
3033.答案 722/45
3034.答案 2/5
3035.答案 56/9
3036.答案 154/45
3037.答案 7/45
3038.答案 211/90
3039.答案 323/108
3040.答案 1/4
3041.答案 65/6
3042.答案 67/8
3043.答案 289/42
3044.答案 8
3045.答案 20/9
3046.答案 55/18
3047.答案 70
3048.答案 169/7
3049.答案 3/5
3050.答案 41/28
3051.答案 72
3052.答案 139/12
3053.答案 35/6
3054.答案 160/7
3055.答案 11/2
3056.答案 6/5
3057.答案 244/21
3058.答案 23/8
3059.答案 1/24
3060.答案 43/8
3061.答案 7/4
3062.答案 22
3063.答案 45/2
3064.答案 279/28
3065.答案 192/5
3066.答案 243/4
3067.答案 11/4
3068.答案 27/5
3069.答案 19
3070.答案 63/5
3071.答案 757/63
3072.答案 247/7
3073.答案 29/4
3074.答案 8
3075.答案 62/5
3076.答案 9/7
3077.答案 35/12
3078.答案 14/9
3079.答案 533/14
3080.答案 72/7
3081.答案 2/9
3082.答案 5/2
3083.答案 88/7
3084.答案 337/36
3085.答案 11/3
3086.答案 4
3087.答案 129/7
3088.答案 83/16
3089.答案 49/18
3090.答案 1/6
3091.答案 31/6
3092.答案 23/7
3093.答案 700/3
3094.答案 149/16
3095.答案 1079/504
3096.答案 79/120
3097.答案 1/35
3098.答案 1271/162
3099.答案 51/5
3100.答案 24/5
3101.答案 82/7
3102.答案 3/5
3103.答案 295/144
3104.答案 33/14
3105.答案 24/5
3106.答案 32/27
3107.答案 73/15
3108.答案 115/8
3109.答案 13/2
3110.答案 128/45
3111.答案 1562/315
3112.答案 5
3113.答案 169/6
3114.答案 44/7
3115.答案 15/7
3116.答案 469/180
3117.答案 7/6
3118.答案 37
3119.答案 8
3120.答案 9/16
3121.答案 5/8
3122.答案 18/7
3123.答案 439/63
3124.答案 11/4
3125.答案 7/30
3126.答案 59/63
3127.答案 20
3128.答案 77/36
3129.答案 15
3130.答案 22
3131.答案 21/2
3132.答案 189/16
3133.答案 75
3134.答案 221/24
3135.答案 58/3
3136.答案 64
3137.答案 12/7
3138.答案 251/28
3139.答案 171/5
3140.答案 48/49
3141.答案 1/80
3142.答案 13/8
3143.答案 32/3
3144.答案 183/35
3145.答案 65/6
3146.答案 87/40
3147.答案 12
3148.答案 7/24
3149.答案 439/56
3150.答案 11
3151.答案 25/6
3152.答案 35/4
3153.答案 58/21
3154.答案 7/8
3155.答案 59
3156.答案 118/3
3157.答案 61/56
3158.答案 16/35
3159.答案 59/6
3160.答案 7
3161.答案 45/8
3162.答案 25/14
3163.答案 34/5
3164.答案 10
3165.答案 37/10
3166.答案 9/2
3167.答案 22/9
3168.答案 67/2
3169.答案 37/12
3170.答案 111/14
3171.答案 1321/700
3172.答案 9/14
3173.答案 5
3174.答案 3/32
3175.答案 79
3176.答案 5/24
3177.答案 5/8
3178.答案 28
3179.答案 1763/336
3180.答案 31/14
3181.答案 93/8
3182.答案 47/4
3183.答案 1/4
3184.答案 99/14
3185.答案 6
3186.答案 69/8
3187.答案 776/105
3188.答案 143/288
3189.答案 125/7
3190.答案 53/6
3191.答案 8
3192.答案 24
3193.答案 17/14
3194.答案 31/24
3195.答案 274/5
3196.答案 17
3197.答案 54/5
3198.答案 160/21
3199.答案 27/10
3200.答案 47/5
3201.答案 37/6
3202.答案 3/2
3203.答案 9/4
3204.答案 8
3205.答案 91/24
3206.答案 21/2
3207.答案 109/12
3208.答案 61/72
3209.答案 19/8
3210.答案 71/9
3211.答案 77/6
3212.答案 75/28
3213.答案 270
3214.答案 6
3215.答案 7/3
3216.答案 81/8
3217.答案 31/5
3218.答案 128/9
3219.答案 11/4
3220.答案 289/45
3221.答案 62/21
3222.答案 83/15
3223.答案 72
3224.答案 209/30
3225.答案 29
3226.答案 73/9
3227.答案 5/7
3228.答案 161/18
3229.答案 61/18
3230.答案 5
3231.答案 6/25
3232.答案 72/35
3233.答案 13/6
3234.答案 17/6
3235.答案 57/4
3236.答案 19/6
3237.答案 149/24
3238.答案 7/4
3239.答案 1/256
3240.答案 38/45
3241.答案 10/7
3242.答案 5
3243.答案 1
3244.答案 33
3245.答案 30/7
3246.答案 12
3247.答案 112/25
3248.答案 31/9
3249.答案 54/7
3250.答案 722/81
3251.答案 63
3252.答案 28/81
3253.答案 19/4
3254.答案 247/56
3255.答案 1/2
3256.答案 124/15
3257.答案 181/20
3258.答案 13/12
3259.答案 4
3260.答案 25
3261.答案 90
3262.答案 123/25
3263.答案 10
3264.答案 19/6
3265.答案 109/70
3266.答案 9/8
3267.答案 48/5
3268.答案 1013/360
3269.答案 13
3270.答案 9/2
3271.答案 72/5
3272.答案 31/8
3273.答案 1/27
3274.答案 37/4
3275.答案 118/3
3276.答案 3/49
3277.答案 27/2
3278.答案 180/7
3279.答案 293/54
3280.答案 316/15
3281.答案 17/3
3282.答案 23/9
3283.答案 298/105
3284.答案 19/18
3285.答案 9/28
3286.答案 165/4
3287.答案 79
3288.答案 2/27
3289.答案 7/2
3290.答案 1/5
3291.答案 19/4
3292.答案 52/3
3293.答案 9/2
3294.答案 3/5
3295.答案 658/45
3296.答案 397/20
3297.答案 6
3298.答案 42/5
3299.答案 20
3300.答案 9/4
3301.答案 8/9
3302.答案 15/8
3303.答案 35/9
3304.答案 5/2
3305.答案 16/3
3306.答案 27/4
3307.答案 1/32
3308.答案 127/84
3309.答案 61/15
3310.答案 21
3311.答案 79/126
3312.答案 51/49
3313.答案 35/16
3314.答案 21/8
3315.答案 193/21
3316.答案 21/2
3317.答案 301/30
3318.答案 17/15
3319.答案 22/7
3320.答案 105/16
3321.答案 24/7
3322.答案 9/5
3323.答案 162/7
3324.答案 7/4
3325.答案 21/2
3326.答案 35/8
3327.答案 37/9
3328.答案 16/5
3329.答案 65/56
3330.答案 175/81
3331.答案 29/12
3332.答案 15/2
3333.答案 3
3334.答案 13/4
3335.答案 549/140
3336.答案 5
3337.答案 26/5
3338.答案 9/8
3339.答案 2/15
3340.答案 75/7
3341.答案 39/5
3342.答案 44/45
3343.答案 2/5
3344.答案 9/2
3345.答案 7/6
3346.答案 1/2
3347.答案 10
3348.答案 32
3349.答案 11/28
3350.答案 49/8
3351.答案 1/8
3352.答案 463/63
3353.答案 1/14
3354.答案 35/12
3355.答案 35/9
3356.答案 29
3357.答案 24/7
3358.答案 39/5
3359.答案 115/16
3360.答案 10/7
3361.答案 17/4
3362.答案 4/9
3363.答案 19/6
3364.答案 61/6
3365.答案 127/5
3366.答案 41/40
3367.答案 15
3368.答案 4/81
3369.答案 11/3
3370.答案 295/42
3371.答案 143/70
3372.答案 0
3373.答案 82/105
3374.答案 12/7
3375.答案 1/2
3376.答案 25
3377.答案 49/15
3378.答案 49/90
3379.答案 8/5
3380.答案 5
3381.答案 3
3382.答案 60/7
3383.答案 5/3
3384.答案 78/7
3385.答案 607/40
3386.答案 45
3387.答案 1/2
3388.答案 24
3389.答案 10/7
3390.答案 35/8
3391.答案 103/7
3392.答案 0
3393.答案 1/6
3394.答案 12
3395.答案 157/210
3396.答案 32/7
3397.答案 14
3398.答案 1/6
3399.答案 168
3400.答案 1/2
3401.答案 64/15
3402.答案 24/5
3403.答案 17/3
3404.答案 73/36
3405.答案 41/6
3406.答案 6
3407.答案 15/4
3408.答案 5/18
3409.答案 27/8
3410.答案 5/4
3411.答案 7/18
3412.答案 11/54
3413.答案 41/5
3414.答案 15
3415.答案 3/280
3416.答案 3
3417.答案 43/9
3418.答案 4
3419.答案 4/45
3420.答案 23/2
3421.答案 3
3422.答案 1/6
3423.答案 53/6
3424.答案 92/7
3425.答案 39/28
3426.答案 2
3427.答案 7/3
3428.答案 1/18
3429.答案 80/21
3430.答案 1
3431.答案 173/15
3432.答案 9
3433.答案 251/28
3434.答案 87/14
3435.答案 39/7
3436.答案 1
3437.答案 4
3438.答案 253/162
3439.答案 29
3440.答案 58/5
3441.答案 1/2
3442.答案 79/4
3443.答案 181/14
3444.答案 6
3445.答案 9/200
3446.答案 35/64
3447.答案 5/3
3448.答案 42/5
3449.答案 21/2
3450.答案 2
3451.答案 11/4
3452.答案 41/9
3453.答案 607/56
3454.答案 167/27
3455.答案 2/15
3456.答案 479/56
3457.答案 79/168
3458.答案 43/30
3459.答案 58/35
3460.答案 363/14
3461.答案 277/54
3462.答案 5/63
3463.答案 113/14
3464.答案 9/7
3465.答案 0
3466.答案 41/28
3467.答案 31/2
3468.答案 2
3469.答案 27/112
3470.答案 3
3471.答案 173/9
3472.答案 341/40
3473.答案 329/15
3474.答案 35/8
3475.答案 9/4
3476.答案 47/70
3477.答案 4/9
3478.答案 61/5
3479.答案 23/4
3480.答案 522/35
3481.答案 19/8
3482.答案 24
3483.答案 35/4
3484.答案 1
3485.答案 38
3486.答案 7/120
3487.答案 17/3
3488.答案 30
3489.答案 89/8
3490.答案 4/9
3491.答案 9/7
3492.答案 5/6
3493.答案 11/140
3494.答案 5/2
3495.答案 27
3496.答案 35/4
3497.答案 4
3498.答案 7/15
3499.答案 81/2
3500.答案 35/4
3501.答案 253/45
3502.答案 53/5
3503.答案 20/3
3504.答案 25/4
3505.答案 12/7
3506.答案 103/16
3507.答案 25
3508.答案 14/9
3509.答案 52
3510.答案 11/6
3511.答案 139/28
3512.答案 124/9
3513.答案 31/42
3514.答案 19/60
3515.答案 257/36
3516.答案 9/5
3517.答案 16
3518.答案 4/15
3519.答案 137/10
3520.答案 5/3
3521.答案 438/35
3522.答案 77/3
3523.答案 7/27
3524.答案 167/40
3525.答案 159/7
3526.答案 21/32
3527.答案 46/9
3528.答案 109/36
3529.答案 77/9
3530.答案 23/12
3531.答案 28
3532.答案 416/9
3533.答案 13/12
3534.答案 10
3535.答案 83/16
3536.答案 2207/135
3537.答案 77/8
3538.答案 59/24
3539.答案 317/30
3540.答案 569/8
3541.答案 27/10
3542.答案 34/5
3543.答案 3/5
3544.答案 59/9
3545.答案 37/8
3546.答案 25/8
3547.答案 50/9
3548.答案 731/315
3549.答案 32/9
3550.答案 32/9
3551.答案 30
3552.答案 31/20
3553.答案 100/21
3554.答案 56/5
3555.答案 6
3556.答案 4
3557.答案 643/24
3558.答案 13
3559.答案 428/15
3560.答案 22/27
3561.答案 699/280
3562.答案 6
3563.答案 41/20
3564.答案 179/30
3565.答案 6/5
3566.答案 6/5
3567.答案 31/12
3568.答案 7/6
3569.答案 16/3
3570.答案 1849/252
3571.答案 403/36
3572.答案 121/84
3573.答案 15/4
3574.答案 112/9
3575.答案 107/14
3576.答案 43/36
3577.答案 61/6
3578.答案 65/3
3579.答案 542/5
3580.答案 40/7
3581.答案 9
3582.答案 17/2
3583.答案 21/5
3584.答案 1/4
3585.答案 19/14
3586.答案 1
3587.答案 24/7
3588.答案 113/45
3589.答案 360
3590.答案 96/7
3591.答案 23/2
3592.答案 71/18
3593.答案 12
3594.答案 7/5
3595.答案 66/5
3596.答案 27/35
3597.答案 21
3598.答案 20
3599.答案 59/2
3600.答案 11
3601.答案 3/2
3602.答案 3/2
3603.答案 12
3604.答案 1/4
3605.答案 3/20
3606.答案 25/6
3607.答案 83/40
3608.答案 8/7
3609.答案 38/3
3610.答案 1/120
3611.答案 43/6
3612.答案 93/5
3613.答案 7/2
3614.答案 31/7
3615.答案 55
3616.答案 15/7
3617.答案 95/6
3618.答案 48/35
3619.答案 11/12
3620.答案 56/5
3621.答案 5/8
3622.答案 11/6
3623.答案 119/4
3624.答案 57/7
3625.答案 5/36
3626.答案 49/18
3627.答案 1/9
3628.答案 63/8
3629.答案 7/3
3630.答案 5/3
3631.答案 43/9
3632.答案 9/5
3633.答案 335/56
3634.答案 9
3635.答案 33/4
3636.答案 41/6
3637.答案 13/2
3638.答案 46/9
3639.答案 19/5
3640.答案 7
3641.答案 73/6
3642.答案 32/7
3643.答案 17/6
3644.答案 8/3
3645.答案 2
3646.答案 107/12
3647.答案 1
3648.答案 125/42
3649.答案 11/2
3650.答案 307/27
3651.答案 109/5
3652.答案 18
3653.答案 11/3
3654.答案 5/18
3655.答案 9/10
3656.答案 0
3657.答案 7/8
3658.答案 7/9
3659.答案 34/5
3660.答案 23/16
3661.答案 107/12
3662.答案 27/7
3663.答案 4
3664.答案 1/30
3665.答案 79/9
3666.答案 16/15
3667.答案 16
3668.答案 17/45
3669.答案 43/12
3670.答案 16/5
3671.答案 3/5
3672.答案 118/9
3673.答案 3/512
3674.答案 19/2
3675.答案 259/40
3676.答案 25
3677.答案 45/8
3678.答案 302/49
3679.答案 39/2
3680.答案 53/6
3681.答案 4
3682.答案 25
3683.答案 87/32
3684.答案 32/15
3685.答案 203/24
3686.答案 167/8
3687.答案 200/7
3688.答案 116/9
3689.答案 31/20
3690.答案 7/6
3691.答案 120/7
3692.答案 9
3693.答案 79/8
3694.答案 53/7
3695.答案 19/24
3696.答案 128
3697.答案 75
3698.答案 1/162
3699.答案 3/35
3700.答案 19/5
3701.答案 9
3702.答案 19/4
3703.答案 116/35
3704.答案 25/18
3705.答案 140/3
3706.答案 50
3707.答案 64/7
3708.答案 125/18
3709.答案 5/16
3710.答案 23/2
3711.答案 3/32
3712.答案 0
3713.答案 116/35
3714.答案 4/3
3715.答案 28/3
3716.答案 1989/40
3717.答案 98/15
3718.答案 147/8
3719.答案 1/2
3720.答案 31/2
3721.答案 45/8
3722.答案 40
3723.答案 1/2
3724.答案 297/7
3725.答案 1372/45
3726.答案 3/16
3727.答案 17/2
3728.答案 86/7
3729.答案 9/8
3730.答案 239/5
3731.答案 23/8
3732.答案 65/12
3733.答案 3/5
3734.答案 110/3
3735.答案 13/6
3736.答案 2
3737.答案 27
3738.答案 1/60
3739.答案 59/8
3740.答案 41/7
3741.答案 15/14
3742.答案 13/8
3743.答案 7/9
3744.答案 16
3745.答案 39/14
3746.答案 3/4
3747.答案 6/7
3748.答案 29/24
3749.答案 4/35
3750.答案 37/7
3751.答案 133/20
3752.答案 97/42
3753.答案 47/24
3754.答案 672/5
3755.答案 6
3756.答案 43/8
3757.答案 179/16
3758.答案 79/16
3759.答案 41/8
3760.答案 65/56
3761.答案 140/9
3762.答案 108/7
3763.答案 317/140
3764.答案 24/5
3765.答案 23/6
3766.答案 34/9
3767.答案 59/7
3768.答案 0
3769.答案 48/7
3770.答案 19
3771.答案 78/5
3772.答案 409/9
3773.答案 843/196
3774.答案 17/15
3775.答案 49/4
3776.答案 25/12
3777.答案 305/36
3778.答案 125/8
3779.答案 76/5
3780.答案 53/6
3781.答案 41/21
3782.答案 49/6
3783.答案 9/700
3784.答案 11/3
3785.答案 23/3
3786.答案 145/112
3787.答案 9/56
3788.答案 25/189
3789.答案 11/6
3790.答案 5
3791.答案 23/28
3792.答案 10
3793.答案 171/8
3794.答案 3/16
3795.答案 520/21
3796.答案 97/168
3797.答案 77/8
3798.答案 7/6
3799.答案 18
3800.答案 9
3801.答案 15/8
3802.答案 5/4
3803.答案 29/5
3804.答案 25/3
3805.答案 7
3806.答案 6
3807.答案 77/24
3808.答案 251/210
3809.答案 14/9
3810.答案 48/7
3811.答案 145/84
3812.答案 7/216
3813.答案 17
3814.答案 27
3815.答案 105/16
3816.答案 47/4
3817.答案 9/2
3818.答案 58/9
3819.答案 6/5
3820.答案 5/2
3821.答案 109/21
3822.答案 77/20
3823.答案 68/63
3824.答案 41/14
3825.答案 189/4
3826.答案 40
3827.答案 22/27
3828.答案 11/2
3829.答案 188/9
3830.答案 193/24
3831.答案 300/7
3832.答案 1/12
3833.答案 23/12
3834.答案 8/3
3835.答案 31/3
3836.答案 1/4
3837.答案 64/81
3838.答案 1/4
3839.答案 9
3840.答案 5
3841.答案 33/7
3842.答案 1/3
3843.答案 43/5
3844.答案 4
3845.答案 95/24
3846.答案 20
3847.答案 4
3848.答案 21/8
3849.答案 337/28
3850.答案 0
3851.答案 32/5
3852.答案 12/35
3853.答案 65/9
3854.答案 87/20
3855.答案 19
3856.答案 15/4
3857.答案 1/5
3858.答案 51/7
3859.答案 4
3860.答案 14
3861.答案 327/2
3862.答案 1
3863.答案 27/2
3864.答案 36
3865.答案 121/50
3866.答案 29/8
3867.答案 25/7
3868.答案 63/2
3869.答案 49/90
3870.答案 20/3
3871.答案 17/3
3872.答案 6/7
3873.答案 71/9
3874.答案 3/8
3875.答案 85
3876.答案 19/3
3877.答案 19/15
3878.答案 8/9
3879.答案 409/56
3880.答案 47/5
3881.答案 64/7
3882.答案 2
3883.答案 13/4
3884.答案 27/5
3885.答案 9
3886.答案 8
3887.答案 1/56
3888.答案 29/2
3889.答案 43
3890.答案 4
3891.答案 1/4
3892.答案 137/96
3893.答案 5/6
3894.答案 14
3895.答案 83/2
3896.答案 140/9
3897.答案 63/10
3898.答案 11/5
3899.答案 241/63
3900.答案 329/36
3901.答案 17/4
3902.答案 1/4
3903.答案 16
3904.答案 59/5
3905.答案 29
3906.答案 37/84
3907.答案 5/21
3908.答案 3/2
3909.答案 12
3910.答案 13/3
3911.答案 89/24
3912.答案 1/6
3913.答案 5/3
3914.答案 160/9
3915.答案 18
3916.答案 18
3917.答案 45/4
3918.答案 17/12
3919.答案 7
3920.答案 303/80
3921.答案 65/4
3922.答案 2
3923.答案 189/50
3924.答案 5
3925.答案 21/4
3926.答案 48
3927.答案 193/36
3928.答案 53/12
3929.答案 11/8
3930.答案 4/5
3931.答案 293/21
3932.答案 11/8
3933.答案 79/8
3934.答案 9/7
3935.答案 67/6
3936.答案 359/35
3937.答案 63/8
3938.答案 6
3939.答案 179/28
3940.答案 41/84
3941.答案 2/3
3942.答案 14
3943.答案 2/5
3944.答案 193/3
3945.答案 91/8
3946.答案 2
3947.答案 43/12
3948.答案 33/2
3949.答案 102/7
3950.答案 272/45
3951.答案 108/5
3952.答案 61/15
3953.答案 3
3954.答案 28/9
3955.答案 8/3
3956.答案 265/4
3957.答案 184/15
3958.答案 17/9
3959.答案 32/27
3960.答案 68/9
3961.答案 19/9
3962.答案 15
3963.答案 9/5
3964.答案 467/56
3965.答案 37/3
3966.答案 31/5
3967.答案 893/21
3968.答案 1/27
3969.答案 295/18
3970.答案 0
3971.答案 44/15
3972.答案 53/63
3973.答案 5/6
3974.答案 191/36
3975.答案 14/9
3976.答案 2/3
3977.答案 31/4
3978.答案 17/2
3979.答案 8
3980.答案 54
3981.答案 42
3982.答案 449/8
3983.答案 13/3
3984.答案 41/6
3985.答案 15/8
3986.答案 44/5
3987.答案 37/42
3988.答案 121/8
3989.答案 23/2
3990.答案 65/9
3991.答案 64/5
3992.答案 217/8
3993.答案 10/3
3994.答案 9/5
3995.答案 16
3996.答案 2
3997.答案 12
3998.答案 481/56
3999.答案 2/5
4000.答案 21
4001.答案 161/32
4002.答案 181/3
4003.答案 8/63
4004.答案 29/4
4005.答案 6
4006.答案 27/5
4007.答案 1403/120
4008.答案 109/28
4009.答案 236/21
4010.答案 8
4011.答案 428/45
4012.答案 5/576
4013.答案 141/20
4014.答案 17/5
4015.答案 7/486
4016.答案 13/12
4017.答案 377/120
4018.答案 1499/140
4019.答案 5
4020.答案 46/9
4021.答案 271/20
4022.答案 17/2
4023.答案 22/3
4024.答案 73/3
4025.答案 17/12
4026.答案 12/7
4027.答案 5/7
4028.答案 127/72
4029.答案 35/8
4030.答案 5
4031.答案 11
4032.答案 97/144
4033.答案 133/36
4034.答案 7/27
4035.答案 7/6
4036.答案 21/2
4037.答案 9/2
4038.答案 24/7
4039.答案 27/10
4040.答案 13/4
4041.答案 52/9
4042.答案 53/30
4043.答案 1400/9
4044.答案 1/4
4045.答案 33
4046.答案 60
4047.答案 95/36
4048.答案 457/7
4049.答案 86/7
4050.答案 83/10
4051.答案 55/18
4052.答案 189/8
4053.答案 768/35
4054.答案 7/4
4055.答案 325/54
4056.答案 47/35
4057.答案 29/12
4058.答案 28/9
4059.答案 0
4060.答案 1/6
4061.答案 41/6
4062.答案 10
4063.答案 63/25
4064.答案 122/9
4065.答案 71/20
4066.答案 3/160
4067.答案 196/15
4068.答案 133/9
4069.答案 37/30
4070.答案 57/4
4071.答案 9
4072.答案 32/21
4073.答案 893/360
4074.答案 37/2
4075.答案 336/5
4076.答案 18/5
4077.答案 15
4078.答案 53/24
4079.答案 64/7
4080.答案 0
4081.答案 869/192
4082.答案 13
4083.答案 22/21
4084.答案 200/7
4085.答案 421/245
4086.答案 67/9
4087.答案 3
4088.答案 63/5
4089.答案 26/3
4090.答案 7/3
4091.答案 79/5
4092.答案 8
4093.答案 17/3
4094.答案 83/3
4095.答案 73/45
4096.答案 39/5
4097.答案 16/15
4098.答案 19/35
4099.答案 49/20
4100.答案 14
4101.答案 23
4102.答案 397/36
4103.答案 4
4104.答案 407/9
4105.答案 68
4106.答案 8
4107.答案 16/3
4108.答案 121/8
4109.答案 1327/168
4110.答案 1/4
4111.答案 26/35
4112.答案 34/7
4113.答案 143/18
4114.答案 179/14
4115.答案 25/49
4116.答案 26/3
4117.答案 185/8
4118.答案 47/12
4119.答案 14
4120.答案 164/21
4121.答案 35/4
4122.答案 27/224
4123.答案 9/16
4124.答案 15
4125.答案 449/28
4126.答案 224/5
4127.答案 14/5
4128.答案 9/8
4129.答案 46
4130.答案 16/81
4131.答案 2
4132.答案 10/7
4133.答案 12
4134.答案 43/9
4135.答案 53/4
4136.答案 37/7
4137.答案 6
4138.答案 5
4139.答案 65/18
4140.答案 5/2
4141.答案 10
4142.答案 101/20
4143.答案 333/28
4144.答案 607/126
4145.答案 115/72
4146.答案 319/63
4147.答案 52/45
4148.答案 22/7
4149.答案 69/56
4150.答案 1/3
4151.答案 83/20
4152.答案 141/14
4153.答案 13/6
4154.答案 1/6
4155.答案 71/21
4156.答案 12/7
4157.答案 269/40
4158.答案 3
4159.答案 21/4
4160.答案 4/9
4161.答案 992/15
4162.答案 19/4
4163.答案 311/48
4164.答案 13/9
4165.答案 37/6
4166.答案 29/2
4167.答案 1355/63
4168.答案 74/9
4169.答案 17/3
4170.答案 1003/120
4171.答案 5/196
4172.答案 19/3
4173.答案 36/7
4174.答案 2
4175.答案 29/2
4176.答案 25/8
4177.答案 55/3
4178.答案 28
4179.答案 391/24
4180.答案 91/15
4181.答案 2
4182.答案 75/32
4183.答案 203/20
4184.答案 9/2
4185.答案 35/4
4186.答案 139
4187.答案 13/7
4188.答案 3/4
4189.答案 190/9
4190.答案 253
4191.答案 589/80
4192.答案 781/140
4193.答案 85/8
4194.答案 16/5
4195.答案 332/35
4196.答案 10/7
4197.答案 13/2
4198.答案 19/36
4199.答案 28/5
4200.答案 97/56
4201.答案 32/5
4202.答案 58/21
4203.答案 32
4204.答案 4
4205.答案 15/8
4206.答案 155/32
4207.答案 7
4208.答案 19/5
4209.答案 10/3
4210.答案 24/35
4211.答案 193/40
4212.答案 449/70
4213.答案 25/56
4214.答案 5/9
4215.答案 679/72
4216.答案 452/21
4217.答案 101/180
4218.答案 375/64
4219.答案 18/35
4220.答案 75/4
4221.答案 9/2
4222.答案 27/140
4223.答案 608/75
4224.答案 9
4225.答案 9
4226.答案 5/24
4227.答案 226/7
4228.答案 43/7
4229.答案 557/84
4230.答案 56/5
4231.答案 71/8
4232.答案 65/6
4233.答案 43/10
4234.答案 12
4235.答案 15/2
4236.答案 538/5
4237.答案 95/14
4238.答案 2/5
4239.答案 27/40
4240.答案 2
4241.答案 2691/448
4242.答案 338/63
4243.答案 55/4
4244.答案 2
4245.答案 397/56
4246.答案 74/15
4247.答案 209/36
4248.答案 20/9
4249.答案 2/7
4250.答案 4/27
4251.答案 85/36
4252.答案 1/2
4253.答案 25/27
4254.答案 31/5
4255.答案 16/9
4256.答案 57/4
4257.答案 111/8
4258.答案 27/28
4259.答案 22
4260.答案 3240
4261.答案 4/5
4262.答案 2473/504
4263.答案 16/9
4264.答案 44/15
4265.答案 47/2
4266.答案 67/8
4267.答案 30
4268.答案 5/3
4269.答案 16
4270.答案 3/16
4271.答案 67/12
4272.答案 21/4
4273.答案 21/5
4274.答案 55/8
4275.答案 97/24
4276.答案 179/48
4277.答案 36/7
4278.答案 47/6
4279.答案 1
4280.答案 5/7
4281.答案 7/4
4282.答案 20/7
4283.答案 85/16
4284.答案 251/42
4285.答案 16/49
4286.答案 20/9
4287.答案 23/3
4288.答案 2/27
4289.答案 81/4
4290.答案 35/16
4291.答案 25/3
4292.答案 569/40
4293.答案 61/5
4294.答案 41/20
4295.答案 44/3
4296.答案 33/2
4297.答案 1/35
4298.答案 52/7
4299.答案 3
4300.答案 7/3
4301.答案 21/4
4302.答案 28/225
4303.答案 2155/576
4304.答案 473/56
4305.答案 7/162
4306.答案 4
4307.答案 168
4308.答案 0
4309.答案 1/9
4310.答案 79/24
4311.答案 63
4312.答案 49/2
4313.答案 19/15
4314.答案 316/9
4315.答案 83/60
4316.答案 31/8
4317.答案 32/3
4318.答案 52
4319.答案 35/36
4320.答案 139/70
4321.答案 134/147
4322.答案 12
4323.答案 578/9
4324.答案 3/2
4325.答案 424/63
4326.答案 140/3
4327.答案 1/3
4328.答案 81/16
4329.答案 9
4330.答案 5/2
4331.答案 6/5
4332.答案 112/3
4333.答案 41
4334.答案 117/14
4335.答案 10/9
4336.答案 2/9
4337.答案 26/7
4338.答案 9/5
4339.答案 393/175
4340.答案 209/27
4341.答案 163/45
4342.答案 8
4343.答案 25/14
4344.答案 13/3
4345.答案 193/28
4346.答案 1/24
4347.答案 4/945
4348.答案 25/72
4349.答案 15/4
4350.答案 163/35
4351.答案 79/12
4352.答案 9/2
4353.答案 11
4354.答案 245/54
4355.答案 9/5
4356.答案 91/6
4357.答案 5
4358.答案 4/7
4359.答案 105
4360.答案 46/3
4361.答案 505/2
4362.答案 71
4363.答案 89/14
4364.答案 190/21
4365.答案 359/60
4366.答案 13
4367.答案 51/4
4368.答案 554/21
4369.答案 68/5
4370.答案 7/32
4371.答案 45/4
4372.答案 772/45
4373.答案 264/35
4374.答案 49/18
4375.答案 68/27
4376.答案 29/3
4377.答案 20/3
4378.答案 45
4379.答案 9/7
4380.答案 47/4
4381.答案 14/3
4382.答案 34/9
4383.答案 265/32
4384.答案 53/3
4385.答案 7/40
4386.答案 3
4387.答案 37/7
4388.答案 35/2
4389.答案 5/3
4390.答案 197/84
4391.答案 67/9
4392.答案 9/10
4393.答案 1/3
4394.答案 1/6
4395.答案 632/63
4396.答案 3/2
4397.答案 64/35
4398.答案 7/18
4399.答案 166/81
4400.答案 16/45
4401.答案 905/72
4402.答案 59/20
4403.答案 35/24
4404.答案 5
4405.答案 2/9
4406.答案 19/6
4407.答案 4
4408.答案 33/7
4409.答案 13/6
4410.答案 7/3
4411.答案 8
4412.答案 29/9
4413.答案 201/40
4414.答案 50/9
4415.答案 115/12
4416.答案 31/4
4417.答案 9
4418.答案 5/2
4419.答案 47/4
4420.答案 49/60
4421.答案 101/14
4422.答案 18
4423.答案 40/9
4424.答案 29/36
4425.答案 32/9
4426.答案 227/15
4427.答案 11/2
4428.答案 7
4429.答案 56/5
4430.答案 4/63
4431.答案 5/2
4432.答案 720
4433.答案 71/8
4434.答案 40/3
4435.答案 1/128
4436.答案 5/7
4437.答案 35/3
4438.答案 21/8
4439.答案 108/25
4440.答案 9
4441.答案 13/2
4442.答案 212/63
4443.答案 3/2
4444.答案 27
4445.答案 77/15
4446.答案 43/27
